"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"2009","Arménie","Total","Total","3.237.976",""
"2010","Arménie","Total","Total","3.249.482",""
"2011","Arménie","Total","Total","3.262.650",""
"2012","Arménie","Total","Total","3.274.285",""
"2013","Arménie","Total","Total",":",""
"1960","Azerbaïdjan","Total","Total",":",""
"1961","Azerbaïdjan","Total","Total",":",""
"1962","Azerbaïdjan","Total","Total",":",""
"1963","Azerbaïdjan","Total","Total",":",""
"1964","Azerbaïdjan","Total","Total",":",""
"1965","Azerbaïdjan","Total","Total",":",""
"1966","Azerbaïdjan","Total","Total",":",""
"1967","Azerbaïdjan","Total","Total",":",""
"1968","Azerbaïdjan","Total","Total",":",""
"1969","Azerbaïdjan","Total","Total",":",""
"1970","Azerbaïdjan","Total","Total",":",""
"1971","Azerbaïdjan","Total","Total",":",""
"1972","Azerbaïdjan","Total","Total",":",""
"1973","Azerbaïdjan","Total","Total",":",""
"1974","Azerbaïdjan","Total","Total",":",""
"1975","Azerbaïdjan","Total","Total",":",""
"1976","Azerbaïdjan","Total","Total",":",""
"1977","Azerbaïdjan","Total","Total",":",""
"1978","Azerbaïdjan","Total","Total",":",""
"1979","Azerbaïdjan","Total","Total",":",""
"1980","Azerbaïdjan","Total","Total",":",""
"1981","Azerbaïdjan","Total","Total",":",""
"1982","Azerbaïdjan","Total","Total",":",""
"1983","Azerbaïdjan","Total","Total",":",""
"1984","Azerbaïdjan","Total","Total",":",""
"1985","Azerbaïdjan","Total","Total",":",""
"1986","Azerbaïdjan","Total","Total",":",""
"1987","Azerbaïdjan","Total","Total",":",""
"1988","Azerbaïdjan","Total","Total",":",""
"1989","Azerbaïdjan","Total","Total",":",""
"1990","Azerbaïdjan","Total","Total",":",""
"1991","Azerbaïdjan","Total","Total",":",""
"1992","Azerbaïdjan","Total","Total",":",""
"1993","Azerbaïdjan","Total","Total",":",""
"1994","Azerbaïdjan","Total","Total",":",""
"1995","Azerbaïdjan","Total","Total",":",""
"1996","Azerbaïdjan","Total","Total",":",""
"1997","Azerbaïdjan","Total","Total",":",""
"1998","Azerbaïdjan","Total","Total",":",""
"1999","Azerbaïdjan","Total","Total",":",""
"2000","Azerbaïdjan","Total","Total","8.016.200",""
"2001","Azerbaïdjan","Total","Total","8.081.000",""
"2002","Azerbaïdjan","Total","Total","8.141.400",""
"2003","Azerbaïdjan","Total","Total","8.202.500",""
"2004","Azerbaïdjan","Total","Total","8.265.700",""
"2005","Azerbaïdjan","Total","Total","8.347.300",""
"2006","Azerbaïdjan","Total","Total","8.436.400",""
"2007","Azerbaïdjan","Total","Total","8.532.700",""
"2008","Azerbaïdjan","Total","Total","8.629.900",""
"2009","Azerbaïdjan","Total","Total","8.896.900",""
"2010","Azerbaïdjan","Total","Total","8.997.586",""
"2011","Azerbaïdjan","Total","Total","9.111.078",""
"2012","Azerbaïdjan","Total","Total","9.235.085",""
"2013","Azerbaïdjan","Total","Total","9.356.483",""
"1960","Géorgie","Total","Total",":",""
"1961","Géorgie","Total","Total",":",""
"1962","Géorgie","Total","Total",":",""
"1963","Géorgie","Total","Total",":",""
"1964","Géorgie","Total","Total",":",""
"1965","Géorgie","Total","Total",":",""
"1966","Géorgie","Total","Total",":",""
"1967","Géorgie","Total","Total",":",""
"1968","Géorgie","Total","Total",":",""
"1969","Géorgie","Total","Total",":",""
"1970","Géorgie","Total","Total",":",""
"1971","Géorgie","Total","Total",":",""
"1972","Géorgie","Total","Total",":",""
"1973","Géorgie","Total","Total",":",""
"1974","Géorgie","Total","Total",":",""
"1975","Géorgie","Total","Total",":",""
"1976","Géorgie","Total","Total",":",""
"1977","Géorgie","Total","Total",":",""
"1978","Géorgie","Total","Total",":",""
"1979","Géorgie","Total","Total",":",""
"1980","Géorgie","Total","Total",":",""
"1981","Géorgie","Total","Total",":",""
"1982","Géorgie","Total","Total",":",""
"1983","Géorgie","Total","Total",":",""
"1984","Géorgie","Total","Total",":",""
"1985","Géorgie","Total","Total",":",""
"1986","Géorgie","Total","Total",":",""
"1987","Géorgie","Total","Total",":",""
"1988","Géorgie","Total","Total",":",""
"1989","Géorgie","Total","Total",":",""
"1990","Géorgie","Total","Total",":",""
"1991","Géorgie","Total","Total",":",""
"1992","Géorgie","Total","Total",":",""
"1993","Géorgie","Total","Total",":",""
"1994","Géorgie","Total","Total",":",""
"1995","Géorgie","Total","Total",":",""
"1996","Géorgie","Total","Total",":",""
"1997","Géorgie","Total","Total",":",""
"1998","Géorgie","Total","Total",":",""
"1999","Géorgie","Total","Total",":",""
"2000","Géorgie","Total","Total","4.435.200","e"
"2001","Géorgie","Total","Total","4.401.400","e"
"2002","Géorgie","Total","Total","4.371.500","e"
"2003","Géorgie","Total","Total","4.352.600","e"
"2004","Géorgie","Total","Total","4.315.200","e"
"2005","Géorgie","Total","Total","4.321.500","e"
"2006","Géorgie","Total","Total","4.401.292",""
"2007","Géorgie","Total","Total","4.394.702",""
"2008","Géorgie","Total","Total","4.382.070",""
"2009","Géorgie","Total","Total","4.385.429",""
"2010","Géorgie","Total","Total","4.436.391",""
"2011","Géorgie","Total","Total","4.469.250",""
"2012","Géorgie","Total","Total","4.497.617",""
"2013","Géorgie","Total","Total",":",""
